title,text,label
Britain adds India to Covid-19 travel 'red list' amid 103 new variant cases in UK,"Britain added India to the Covid-19 travel 'red list' on Monday. This
effectively bans all travel from the country and makes a 10-day hotel
quarantine compulsory for UK residents arriving back to the country.",0
DRDO develops supplemental oxygen delivery system for treatment of Covid patients,"Amid a massive oxygen supply crunch in the country due to growing coronavirus
cases, the Defence Research and Development Organisation has created
supplemental oxygen delivery system.",0
"Despite Delhi CM Arvind Kejriwal's appeal, migrant workers gather at Anand Vihar Bus Terminal to return home ","Soon after the Delhi Chief Minister Arvind Kejriwal said that the present
lockdown in the city was a relatively 'short' one, and promised that the
government will 'take care' of the migrants through this crisis, hundreds of
migrant workers were seen leaving for their home states from the Anand Vihar
Bus Terminal.",0
"Rajasthan: After lockdown announcement, migrants rush home to Bihar, UP","As Covid-19 cases continue to surge in Rajasthan, the state government has
imposed a lockdown till May 3. Facing job uncertainty amid lockdown, migrants
from Rajasthan are rushing to get back to their hometown.",0
"Bombay HC asks Centre, Maharashtra govt to explain parameters followed in Remdesivir allocation ","The Bombay High Court on Monday asked the Centre and Maharashtra government
to explain the parameters followed in the allocation of Remdesivir, a drug
being used in Covid-19 treatment.",0
Covid-19 vaccines for all adults in India from May 1: Centre,"The Covid-19 vaccination drive will open for all persons above 18 years from
May 1. The decision was taken during a meeting chaired by Prime Minister
Narendra Modi on Monday.",0
BJP accuses Delhi CM Arvind Kejriwal of 'politicising oxygen issue',"There is a huge political face-off over the shortage of medical oxygen supply
in Delhi. Chief Minister Arvind Kejriwal wrote a letter to Union Commerce and
Industry Minister Piyush Goyal accusing the central government of diverting
the medical oxygen of Delhi's share to other states. CM Kejriwal urged him
that it should be restored back. However, the BJP has hit back at the Delhi
CM and accused him of 'politicising the oxygen issue'. Asking that why didn't
Arvind Kejriwal apprise the situation earlier, BJP alleged that he is trying
to hide his own failures. Watch this report for more details.",0
Covid-19 patients struggle to find beds in Delhi | REALITY CHECK,"As Covid-19 cases peaked in Delhi, breaking all previous single-day records,
an India Today TV reality-check found several state-run hospitals overran by
the influx of patients, unable to meet the demands for beds. As most
government and private hospitals are full, there is an acute shortage of beds
being reported in the national capital. In PPE kits, doctors and staff
scrambled to treat Covid-19 patients, many of them waiting for hours in long
queues and many others in ambulances.",0
Allahabad HC orders lockdown in 5 cities of UP till April 26,"The Allahabad High Court has ordered a lockdown in five cities of Uttar
Pradesh till April 26, considering the prevailing Covid-19 situation. The
lockdown has been ordered in Lucknow, Prayagraj, Varanasi, Kanpur and
Gorakhpur.",0
"Covid-19 vaccines for all adults in India from May 1, says Centre ","India will open the Covid-19 vaccination drive for all above 18 years from
May 1, the Centre has said after a meeting chaired by PM Modi.",0
UP govt refuses to impose lockdown; financial aid for Covid-19 vaccine makers soon; more,"The Uttar Pradesh government on Monday said it is not in favour of imposing a
lockdown after the Allahabad High Court ordered a lockdown in five cities of
UP till April 26, considering the prevailing Covid-19 situation. The lockdown
has been ordered in Lucknow, Prayagraj, Varanasi, Kanpur and Gorakhpur. UP
Chief Minister Yogi Adityanath said that instead of imposing a lockdown the
government will implement stricter curbs to contain the virus spread.
Meanwhile, according to sources, India Today has learnt that the Union
finance ministry has given nod for aid to the vaccine makers; 3000 crore is
to be given to the Serum Institute, 1500 crore aid to be given to Bharat
Biotech for Covaxin. Watch the full show for more!",0
Japan asks Myanmar junta to release arrested journalist,"The journalist was arrested at his home on Sunday night and is being detained
at Yangon’s Insein Prison, where political prisoners are frequently held.",0
"Former PM Manmohan Singh tests positive for Covid-19, admitted to AIIMS","Former prime minister and veteran Congress leader Manmohan Singh has been
admitted to the All India Institute of Medical Sciences (AIIMS) Delhi after
testing positive for coronavirus on Monday.",0
"PM Modi virtually interacts India's top medical doctors, pharma companies on Covid-19","Prime Minister Narendra Modi on Monday interacted with the leading doctors
and pharma companies across the country on the prevailing Covid-19 situation
via video conferencing. The interactions with doctors and the pharma sector
comes a day after the prime minister chaired a meeting to review the status
of preparedness to handle the ongoing Covid-19 pandemic. Various aspects
relating to medicines, oxygen, ventilators and vaccination were discussed, an
official statement about the April 18 meeting said.",0
Baby elephant enjoys playing at park in Kenya in viral video,"The short clip showed the baby elephant Lapa busy playing around in the
shelter while other elephants watched over him.",0
DRDO develops supplemental oxygen delivery system for treatment of Covid patients,"Amid a massive oxygen supply crunch in the country due to growing coronavirus
cases, the Defence Research and Development Organisation has created
supplemental oxygen delivery system.",0
"Home Minister Amit Shah on Covid-19 crisis, vaccine politics, battle for Bengal & more | EXCLUSIVE","India Today's exclusive interview with Union Home Minister Amit Shah on
India's Coronavirus crisis, vaccine politics, the battle for Bengal and more.
Watch this full report!",0
"Delhi govt school converted into Covid-19 hospital as city battles virus, bed crunch | In Photos",,0
"Odisha reports 4,445 new coronavirus cases, tally climbs to over 3.72 lakh","Odisha on Monday reported a spike of 4,445 coronavirus cases. Sundergarh,
bordering Chhattisgarh, reported the highest 722 new cases.",0
"Indian Navy ship seizes narcotics worth Rs 3,000 crore from fishing vessel in Arabian Sea","Indian Navy's INS Suvarna, while on surveillance patrol in the Arabian Sea on
Monday, encountered a fishing vessel with suspicious movements. On search,
the team of INS Suvarna seized narcotic substance worth Rs 3,000 crore from
the vessel.",0
Why Pakistan is on the boil again | 10 points,"The clashes between Tehreek-i-Labbaik Pakistan workers and the police in
Pakistan have their roots in caricatures published in France last year.",0
Three Russian climbers reported missing from Nepal's Annapurna peak,"Three Russian climbers identified as Sergey Kondrashkin, Alexander Luthokin,
and Dmitry Sinev have reportedly gone missing from Nepal's Annapurna peak.",0
US warns of 'consequences' if Putin critic Navalny dies as doctors raise health concerns,"US National Security Advisor Jake Sullivan warned Sunday that Russia will
face ""consequences"" if hunger-striking Kremlin critic Alexei Navalny dies.",0
White House: No guarantees about Afghanistan's future post-pullout,"A top White House official has said that no one can offer guarantees about
Afghanistan's future after US troops leave, adding that the United States
would stay focused on terrorist threats emanating from the country.",0
Russia expels 20 Czechs after blast blamed on Skripal suspects,"Moscow expelled 20 Czech diplomats on Sunday after it found out that two
Russian spies were behind an earlier explosion at a Czech ammunition depot
that killed two people.",0
"11 cops taken hostage in Pakistan during violent anti-France protests, released later","Eleven Pakistani police officers taken hostage by supporters of a radical
Islamist group as part of their campaign to get the French ambassador
expelled have been released. The officers were grabbed as hostages Sunday by
supporters of the TLP during violent protests in Lahore.",0
"Acer launches Predator Helios 300 gaming laptop in India, price starts at Rs 1,19,999","Acer has expanded is Predator gaming laptop portfolio by adding the Helios
300 model to it. Now available in India at a starting price of Rs 1.2 lakh,
the laptop packs several gaming-related features.",0
"Watch: Dawa nahi, peg, says Delhi woman at liquor shop hours before lockdown","An elderly woman, who lined up to buy alcohol from a liquor shop in Delhi
hours before the lockdown, said that not medicines, but alcohol will help her
to fight coronavirus if she contracts it. The video has gone viral on social
media.",0
Baby elephant hugs man in cute viral pic,"An adorable picture of a baby elephant hugging a man has gone viral on social
media.",0
Anand Mahindra spreads awareness about face masks in witty viral post,"Anand Mahindra urged people to wear face masks and follow social distancing
guidelines in a viral tweet.",0
Google Doodle celebrates Russian surgeon Vera Gedroits. Who was she?,"With a special animated illustration, Google Doodle celebrated Russian
surgeon Vera Gedroits on her 151st birthday.",0
US woman wears her wedding gown to get Covid vaccine. Full story here,"Sarah Studley, a woman from Baltimore, US, wore her wedding gown to get her
Covid vaccine earlier this week. Here’s why.",0
Woman screams in horror after bobcat attacks her. Viral video,"As seen in a viral video, a woman screamed in horror after a bobcat attacked
her. Watch what happened next.",0
"Just do us a favour and wear your masks, Delhi doctor writes. Read post","A doctor from Delhi requested people to “just wear your masks when you are
out” in the wake of the deadly coronavirus pandemic. Her post has gone
viral on social media.",0
Man helps monkeys drink water from bottle in viral video,"In a video that has gone viral on social media, a man helped two monkeys
drink water from a bottle.",0
NBFCs request RBI to extend MSME restructuring scheme till March 2022,"NBFCs have made the request to RBI as MSMEs are still facing difficulties in
reviving their businesses. The second wave of the Covid-19 pandemic has made
matters worse.",0
IAF chief RKS Bhadauria visits France as Rafale deliveries gain pace,"Chief of Air Staff Air Chief Marshal RKS Bhadauria has left for France to
""enhance potential avenues for strengthening the level of interaction between
the two Air Forces"" and take stock of the delivery timelines of the remaining
Rafale jets.",0
National security massively jeopardised by government's wasteful talks: Rahul Gandhi,"Congress leader Rahul Gandhi slammed Centre over the talks on military
disengagement in Ladakh with China and said the national security of the
country have been ""massively jeopardised"" by the government's ""wasteful
talks"".",0
"After grief, exorbitant rates at UP cremation grounds worsen Covid horror for families","Families of those who died due to Covid-19 in Uttar Pradesh have narrated
harrowing tales of being overcharged at the cremation grounds and being left
with no choice but to pay Rs 10,000-25,000 for the last rites.",0
"Coronavirus pandemic: Australia-New Zealand travel bubble brings relief, elation","Australia-New Zealand travel bubble came as a relief for families who have
been separated by the coronavirus pandemic as well as to struggling tourist
operators.",0
Half of US adults have received at least one Covid-19 shot,"The United States government said on Sunday that half of all adults in the US
have received at least one Covid-19 vaccine shot.",0
2 dead in Tesla crash in Texas that was believed to be driverless,"Two men died after a Tesla vehicle, which was believed to be operating
without anyone in the driver's seat, crashed into a tree.",0
"ElonGate, a joke by Elon Musk on Twitter, is now an official cryptocurrency","Elon Musk joked about a hypothetical situation in one of his tweets last
month. The term from the tweet has now been picked as the name of a new
cryptocurrency in the market.",0
"Sony launches three E-mount prime lenses in India, each priced at Rs 66,990","Sony India has unveiled three E-mount lenses with different focal lengths
-50mm, 40mm, and 24mm. All the new optics are said to boast excellent
autofocus capabilities. Find out more.",0
"New Toyota Fortuner, Legender prices increased, check out details","The prices of the new Toyota Fortuner have shot up by Rs 36,000, while the
Toyota Fortuner Legender has received a price hike of Rs 72,000.",0
Delhi school summer vacations to begin from April 20 instead of May 11,"The Delhi government has decided to advance the school summer vacations in
light of the Covid-19 situation. Delhi school summer vacations will now begin
from April 20 instead of May 11.",0
This woman from rural Bengal wants Mamata Banerjee to calm down,"A woman from West Bengal’s Naxalbari was seen mimicking Chief Minister
Mamata Banerjee in a video that has now gone viral. The woman wants the West
Bengal CM to calm down.",0
LIC appoints Paytm to handle its digital payments,"State-run LIC has tied up with Paytm to handle its digital payments. Paytm
bagged the contract due to the wide range of digital payment services it
provides.",0
Future Retail one step closer to getting relief from lenders. Details here,"Future Retail is a step closer to getting a loan repayment relief from its
lenders. According to a report, FRL had loans to the tune of Rs 6,278 crore
as of October 2020.",0
